Country,4/28/20_i,4/28/20_d,4/28/20_r,Population (2020),Density (P/Km²),Infection Rate %,Mortality Rate %,Recovery Rate %
Colombia,5949,269,1268,50771878.0,46.0,0.011717116313877536,4.521768364430997,21.31450663977139
Costa Rica,705,6,306,5084636.0,100.0,0.013865299305594343,0.851063829787234,43.40425531914894
Croatia,2047,63,1232,4110214.0,73.0,0.04980275966166239,3.077674645823156,60.18563751831949
Cuba,1437,58,575,11327988.0,106.0,0.012685394793850419,4.036186499652053,40.01391788448156
Cyprus,837,15,148,1205577.0,131.0,0.06942733645383083,1.7921146953405016,17.682198327359618
Czechia,7504,227,2948,10705012.0,139.0,0.07009800642913805,3.025053304904051,39.285714285714285
Democratic Republic of the Congo,471,30,56,88972681.0,40.0,0.0005293759777790668,6.369426751592357,11.8895966029724
Denmark,9049,434,6313,5788108.0,137.0,0.1563377877537876,4.796110067410764,69.76461487457178
Diamond Princess,712,13,645,,,,1.8258426966292134,90.58988764044943
Djibouti,1072,2,498,985027.0,43.0,0.10882950416587565,0.18656716417910446,46.45522388059701
Dominica,16,0,13,71950.0,96.0,0.022237665045170257,0.0,81.25
Dominican Republic,6416,286,1165,10825682.0,225.0,0.059266473927462496,4.457605985037406,18.157730673316706
Ecuador,24258,871,1557,17587526.0,71.0,0.13792730142943355,3.590568060021436,6.418501113034875
Egypt,5042,359,1304,101930276.0,103.0,0.004946518539790866,7.120190400634669,25.862752875842922
El Salvador,345,8,97,6479609.0,313.0,0.005324395345459888,2.318840579710145,28.115942028985508
Equatorial Guinea,315,1,9,1392950.0,50.0,0.022613877023583043,0.31746031746031744,2.857142857142857
Eritrea,39,0,19,3536285.0,35.0,0.0011028522870752781,0.0,48.717948717948715
Estonia,1660,50,240,1326357.0,31.0,0.12515484141901465,3.0120481927710845,14.457831325301203
Eswatini,71,1,10,1157707.0,67.0,0.006132812533741265,1.4084507042253522,14.084507042253522
Ethiopia,126,3,50,114357494.0,115.0,0.00011018079847045266,2.380952380952381,39.682539682539684
Fiji,18,0,12,895128.0,49.0,0.0020108855940156045,0.0,66.66666666666666
Finland,4740,199,2800,5539002.0,18.0,0.08557498264127726,4.198312236286919,59.07172995780591
France,169053,23694,47775,65244628.0,119.0,0.2591063895712609,14.015722879806924,28.260368050256428
Gabon,238,3,53,2214593.0,9.0,0.010746895704989585,1.2605042016806722,22.268907563025213
Gambia,10,1,8,2402083.0,239.0,0.0004163053483164404,10.0,80.0
Georgia,511,6,168,3990681.0,57.0,0.012804832057485926,1.1741682974559686,32.87671232876712
Germany,159912,6314,117400,83730223.0,240.0,0.19098480127062362,3.948421631897544,73.41537845815198
Ghana,1671,16,188,30936375.0,137.0,0.005401408536067978,0.9575104727707959,11.250748055056853
Greece,2566,138,577,10433037.0,81.0,0.024594947760656842,5.378020265003897,22.486360093530788
Grenada,19,0,10,112418.0,331.0,0.01690120799160277,0.0,52.63157894736842
Guatemala,530,15,49,17846248.0,167.0,0.002969811917888847,2.8301886792452833,9.245283018867925
Guinea,1240,7,269,13056478.0,53.0,0.009497201312635766,0.564516129032258,21.693548387096776
Guinea-Bissau,73,1,18,1958132.0,70.0,0.0037280428490009867,1.36986301369863,24.65753424657534
Guyana,74,8,15,785788.0,4.0,0.009417298304377262,10.81081081081081,20.27027027027027
Haiti,76,6,8,11373955.0,414.0,0.0006681932537978214,7.894736842105263,10.526315789473683
Holy See,10,0,2,801.0,2003.0,1.2484394506866416,0.0,20.0
Honduras,702,64,79,9871892.0,89.0,0.00711109886534415,9.116809116809117,11.253561253561253
Hungary,2649,291,516,9665192.0,107.0,0.02740762935697501,10.98527746319366,19.479048697621746
Iceland,1795,10,1636,340795.0,3.0,0.5267096054813011,0.5571030640668524,91.14206128133705
India,31324,1008,7747,1377233523.0,464.0,0.0022744145765322037,3.217979823777296,24.731835014685224
Indonesia,9511,773,1254,272931713.0,151.0,0.0034847544447867075,8.12743139522658,13.18473346651246
Iran,92584,5877,72439,83771587.0,52.0,0.11051957270428694,6.3477490711138,78.24138080013824
Iraq,1928,90,1319,40031626.0,93.0,0.00481619207773374,4.668049792531121,68.41286307053942
Ireland,19877,1159,9233,4926480.0,72.0,0.4034726620223771,5.830859787694321,46.450671630527744
Israel,15728,210,7746,8627444.0,400.0,0.18230196568068133,1.3351983723296033,49.2497456765005
Italy,201505,27359,68941,60479424.0,206.0,0.3331794297511828,13.577330587330339,34.213046822659486
Ivory Coast,1183,14,525,26239250.0,83.0,0.004508513010089846,1.183431952662722,44.37869822485207
Jamaica,364,7,29,2958567.0,273.0,0.012303253568366038,1.9230769230769231,7.967032967032966
Japan,13736,394,1899,126552765.0,347.0,0.010853970673813409,2.8683750728013977,13.824985439720441
Jordan,449,8,348,10182442.0,115.0,0.004409551264814472,1.7817371937639197,77.50556792873051
Kazakhstan,3027,25,774,18730568.0,7.0,0.016160748568863473,0.8259002312520648,25.569871159563924
Kenya,374,14,124,53521116.0,94.0,0.0006987896141777013,3.7433155080213902,33.155080213903744
Kuwait,3440,23,1176,4257495.0,240.0,0.08079868561207941,0.6686046511627907,34.18604651162791
Kyrgyzstan,708,8,416,6501804.0,34.0,0.010889285496763667,1.1299435028248588,58.75706214689266
Laos,19,0,7,7253719.0,32.0,0.00026193460209859246,0.0,36.84210526315789
Latvia,836,13,267,1890218.0,30.0,0.044227702836392414,1.555023923444976,31.9377990430622
Lebanon,717,24,145,6831445.0,667.0,0.01049558329167548,3.3472803347280333,20.2231520223152
Liberia,141,16,45,5032469.0,53.0,0.002801805634570228,11.347517730496454,31.914893617021278
Libya,61,2,18,6852010.0,4.0,0.0008902497223442466,3.278688524590164,29.508196721311474
Liechtenstein,82,1,55,38106.0,238.0,0.2151892090484438,1.2195121951219512,67.07317073170732
Lithuania,1344,44,536,2729553.0,43.0,0.04923883141305554,3.273809523809524,39.88095238095239
Luxembourg,3741,89,3123,623861.0,242.0,0.5996528072759797,2.379043036621224,83.48035284683239
MS Zaandam,9,2,0,,,,22.22222222222222,0.0
Madagascar,128,0,82,27539106.0,48.0,0.0004647935920650438,0.0,64.0625
Malawi,36,3,5,19024426.0,203.0,0.00018923041357463296,8.333333333333332,13.88888888888889
Malaysia,5851,100,4032,32280610.0,99.0,0.018125431954352785,1.7091095539224066,68.91129721415142
Maldives,250,0,17,538558.0,1802.0,0.04642025557135907,0.0,6.800000000000001
Mali,424,24,122,20125282.0,17.0,0.0021068027767263088,5.660377358490567,28.77358490566038
Malta,458,4,303,441308.0,1380.0,0.10378239234276289,0.8733624454148471,66.15720524017468
Mauritania,7,1,6,4623535.0,5.0,0.00015139930810516197,14.285714285714285,85.71428571428571
Mauritius,334,10,303,1271347.0,626.0,0.026271348420218867,2.9940119760479043,90.71856287425149
Mexico,16752,1569,11423,128655589.0,66.0,0.013020810156953229,9.366045845272206,68.18887297039159
Moldova,3638,103,975,4035814.0,123.0,0.09014290549564474,2.831225948323255,26.80043980208906
Monaco,95,4,50,39186.0,26337.0,0.24243352217628747,4.2105263157894735,52.63157894736842
Mongolia,38,0,10,3267320.0,2.0,0.0011630326995825326,0.0,26.31578947368421
Montenegro,321,7,199,628050.0,47.0,0.05111058036780511,2.1806853582554515,61.99376947040498
Morocco,4252,165,778,36820713.0,83.0,0.011547848082137898,3.8805268109125115,18.297271872060207
Mozambique,76,0,12,31067362.0,40.0,0.0002446297178370021,0.0,15.789473684210526
Namibia,16,0,8,2531290.0,3.0,0.0006320887768687112,0.0,50.0
Nepal,54,0,16,29027347.0,203.0,0.00018603146887657352,0.0,29.629629629629626
Netherlands,38612,4582,117,17127290.0,508.0,0.22544138623214766,11.86677716771988,0.3030146068579716
New Zealand,1474,19,1229,4814272.0,18.0,0.030617297900907964,1.289009497964722,83.37856173677069
Nicaragua,13,3,7,6608366.0,55.0,0.0001967203390369117,23.076923076923077,53.84615384615385
Niger,709,31,403,24014064.0,19.0,0.002952436538854898,4.372355430183357,56.84062059238364
Nigeria,1532,44,255,205052107.0,226.0,0.0007471271680227114,2.8720626631853787,16.64490861618799
North Macedonia,1421,71,589,2083391.0,83.0,0.06820611205481833,4.9964813511611545,41.4496833216045
Norway,7660,206,32,5412632.0,15.0,0.14152079801471817,2.6892950391644908,0.4177545691906005
Oman,2131,10,364,5078933.0,16.0,0.04195763165216001,0.4692632566870014,17.08118254340685
Pakistan,14612,312,3233,219992900.0,287.0,0.006642032538322827,2.135231316725979,22.12565015056118
Panama,6021,167,455,4300667.0,58.0,0.14000153929611384,2.7736256435808007,7.556884238498589
Papua New Guinea,8,0,0,8911530.0,20.0,8.97713411726157e-05,0.0,0.0
Paraguay,239,9,102,7114524.0,18.0,0.003359325233845581,3.765690376569038,42.67782426778243
Peru,31190,854,9179,32876986.0,26.0,0.0948687936296837,2.738057069573581,29.429304264187238
Philippines,7958,530,975,109280343.0,368.0,0.007282187977759184,6.6599648152802216,12.25182206584569
Poland,12218,596,2655,37854825.0,124.0,0.032275938404153236,4.878048780487805,21.7302340808643
Portugal,24322,948,1389,10202571.0,111.0,0.2383908918644134,3.8977057807746074,5.710879039552668
Qatar,11921,10,1134,2870922.0,248.0,0.4152324584227645,0.08388558006878617,9.512624779800353
Republic of Serbia,7140,137,963,8744288.0,100.0,0.08165330327637882,1.9187675070028012,13.487394957983193
Republic of the Congo,207,8,19,5489191.0,16.0,0.003771047500442233,3.864734299516908,9.178743961352657
Romania,11616,663,3404,19262731.0,84.0,0.06030297573069987,5.707644628099173,29.30440771349862
Russia,93558,867,8456,145922010.0,9.0,0.06411507078335887,0.9266978772526133,9.038243656341521
Rwanda,212,0,95,12883878.0,525.0,0.0016454673041765842,0.0,44.81132075471698
Saint Kitts and Nevis,15,0,4,53123.0,205.0,0.028236357133445023,0.0,26.666666666666668
Saint Lucia,15,0,15,183458.0,301.0,0.008176258326156396,0.0,100.0
Saint Vincent and the Grenadines,15,0,8,110869.0,284.0,0.013529480738529255,0.0,53.333333333333336
San Marino,553,41,64,33917.0,566.0,1.6304508063802812,7.414104882459313,11.573236889692586
Sao Tome and Principe,8,0,4,218308.0,228.0,0.0036645473367902227,0.0,50.0
Saudi Arabia,20077,152,2784,34701377.0,16.0,0.05785649370628721,0.7570852218957015,13.866613537879166
Senegal,823,9,296,16649599.0,87.0,0.004943061992063593,1.0935601458080195,35.96597812879708
Seychelles,11,0,6,98224.0,214.0,0.011198892327740675,0.0,54.54545454545454
Sierra Leone,104,4,12,7942879.0,111.0,0.0013093489149211513,3.8461538461538463,11.538461538461538
Singapore,14951,14,1128,5840996.0,8358.0,0.25596661939162435,0.09363922145675874,7.5446458430874195
Slovakia,1384,20,423,5459116.0,114.0,0.025352089972076063,1.4450867052023122,30.5635838150289
Slovenia,1408,86,223,2078881.0,103.0,0.06772874445434827,6.107954545454546,15.838068181818182
Somalia,528,28,19,15798020.0,25.0,0.0033421909834270374,5.303030303030303,3.5984848484848486
South Africa,4996,93,2073,59154802.0,49.0,0.00844563726204341,1.8614891913530824,41.493194555644514
South Korea,10761,246,8922,51260395.0,527.0,0.020992815213382574,2.286032896570951,82.91051017563423
South Sudan,34,0,0,11166783.0,18.0,0.00030447443995284943,0.0,0.0
Spain,232128,23822,123903,46751175.0,94.0,0.4965180019539616,10.26244141163496,53.37701612903226
Sri Lanka,619,7,134,21395196.0,341.0,0.0028931728412303396,1.1308562197092082,21.647819063004846
Sudan,318,25,31,43632213.0,25.0,0.0007288193243831111,7.861635220125786,9.748427672955975
Suriname,10,1,7,585561.0,4.0,0.0017077640075073305,10.0,70.0
Sweden,19621,2355,1005,10086531.0,25.0,0.19452674066039155,12.00244635849345,5.12206309566281
Switzerland,29264,1699,22600,8641786.0,219.0,0.3386337037274471,5.8057681793329685,77.22799343903772
Syria,43,3,21,17410293.0,95.0,0.0002469803351385298,6.976744186046512,48.837209302325576
Taiwan,429,6,307,23808164.0,673.0,0.0018019029102790119,1.3986013986013985,71.56177156177156
Thailand,2938,54,2652,69764925.0,137.0,0.004211285255448924,1.8379850238257316,90.2654867256637
Timor-Leste,24,0,6,1313184.0,89.0,0.0018276189779954676,0.0,25.0
Togo,99,6,63,8237580.0,152.0,0.0012018092692271274,6.0606060606060606,63.63636363636363
Trinidad and Tobago,116,8,59,1398579.0,273.0,0.008294132830537282,6.896551724137931,50.86206896551724
Tunisia,975,40,279,11793319.0,76.0,0.008267392750081636,4.102564102564102,28.615384615384613
Turkey,114653,2992,38809,84153250.0,110.0,0.1362431040987722,2.6096133550801115,33.84909247904547
Uganda,79,0,52,45427637.0,229.0,0.00017390294811064024,0.0,65.82278481012658
Ukraine,9410,239,992,43785122.0,75.0,0.021491318443739863,2.5398512221041445,10.541976620616365
United Arab Emirates,11380,89,2181,9865845.0,118.0,0.1153474436300185,0.7820738137082601,19.165202108963094
United Kingdom,162350,21745,813,67814098.0,281.0,0.23940449668739971,13.393902063443178,0.5007699414844472
United Republic of Tanzania,299,10,48,59368313.0,67.0,0.0005036356684078255,3.3444816053511706,16.05351170568562
United States of America,1012582,58355,115936,330610570.0,36.0,0.3062763540802703,5.762990059076697,11.449541864263832
Uruguay,625,15,394,3471314.0,20.0,0.018004709455842947,2.4,63.04
Uzbekistan,1939,8,992,33368859.0,79.0,0.005810807016206338,0.4125838060856112,51.16039195461578
Venezuela,329,10,142,28451828.0,32.0,0.0011563404643104127,3.0395136778115504,43.161094224924014
Vietnam,270,0,222,97160127.0,314.0,0.0002778917734432356,0.0,82.22222222222221
West Bank and Gaza,343,2,71,,,,0.5830903790087464,20.699708454810494
Western Sahara,6,0,5,594215.0,2.0,0.0010097355334348678,0.0,83.33333333333334
Yemen,1,0,1,29687214.0,56.0,3.368453503248907e-06,0.0,100.0
Zambia,95,3,42,18273379.0,25.0,0.0005198819550560408,3.1578947368421053,44.21052631578947
Zimbabwe,32,4,5,14818157.0,38.0,0.00021595128193067464,12.5,15.625
