Country,4/28/20_i,4/28/20_d,4/28/20_r,Population (2020),Density (P/Km²),Infection Rate %,Mortality Rate %,Recovery Rate %
Afghanistan,1828,58,228,38742911.0,60.0,0.004718282526576282,3.1728665207877462,12.472647702407002
Albania,750,30,431,2878420.0,105.0,0.026055961256522674,4.0,57.46666666666667
Algeria,3649,437,1651,43685618.0,18.0,0.008352863406899726,11.975883803781857,45.245272677445875
Andorra,743,41,398,77240.0,164.0,0.9619368203003625,5.518169582772544,53.566621803499324
Angola,27,2,6,32644783.0,26.0,8.270846830257686e-05,7.4074074074074066,22.22222222222222
Antigua and Barbuda,24,3,11,97764.0,223.0,0.024548913710568308,12.5,45.83333333333333
Argentina,4127,207,1162,45111229.0,17.0,0.009148498259712676,5.01574993942331,28.15604555367095
Armenia,1867,30,866,2962137.0,104.0,0.06302882007145516,1.6068559185859668,46.38457418318158
Australia,6744,89,5665,25439164.0,3.0,0.026510305134241047,1.319691577698695,84.00059311981019
Austria,15357,569,12580,8996022.0,109.0,0.17070878661701808,3.705150745588331,81.91704108875432
Azerbaijan,1717,22,1221,10120555.0,123.0,0.016965472743342633,1.28130460104834,71.11240535818287
Bahamas,80,11,23,392477.0,39.0,0.02038336004402806,13.750000000000002,28.749999999999996
Bahrain,2811,8,1310,1688629.0,2239.0,0.16646640558701764,0.2845962290999644,46.602632515119176
Bangladesh,6462,155,139,164354176.0,1265.0,0.003931752850624252,2.3986381925100586,2.151036830702569
Barbados,80,6,39,287305.0,668.0,0.02784497311219784,7.5,48.75
Belarus,12208,79,1993,9449940.0,47.0,0.12918600541379097,0.6471166448230669,16.325360419397118
Belgium,47334,7331,10943,11579477.0,383.0,0.40877493862632996,15.487810030844637,23.11868846917649
Belize,18,2,9,396120.0,17.0,0.004544077552256892,11.11111111111111,50.0
Benin,64,1,33,12055347.0,108.0,0.0005308847600985687,1.5625,51.5625
Bhutan,7,0,5,769867.0,20.0,0.0009092479610114475,0.0,71.42857142857143
Bolivia,1014,53,98,11640159.0,11.0,0.008711221212699929,5.226824457593689,9.664694280078894
Bosnia and Herzegovina,1585,63,682,3284806.0,64.0,0.04825246909558738,3.974763406940063,43.02839116719243
Botswana,23,1,0,2341649.0,4.0,0.0009822138159903556,4.3478260869565215,0.0
Brazil,73235,5083,32544,212253150.0,25.0,0.03450361042933874,6.940670444459617,44.43776882638083
Brunei,138,1,124,436624.0,83.0,0.03160614166880428,0.7246376811594203,89.85507246376811
Bulgaria,1399,58,222,6958627.0,64.0,0.020104540737705873,4.145818441744103,15.868477483917085
Burkina Faso,638,42,476,20780371.0,76.0,0.0030702050507182953,6.583072100313479,74.60815047021944
Burma,150,5,16,,,,3.3333333333333335,10.666666666666668
Burundi,11,1,4,11814346.0,463.0,9.310714279063775e-05,9.090909090909092,36.36363636363637
Cabo Verde,114,1,2,554750.0,138.0,0.020549797205948624,0.8771929824561403,1.7543859649122806
Cambodia,122,0,119,16671185.0,95.0,0.0007318016085839129,0.0,97.54098360655738
Cameroon,1705,58,915,26405174.0,56.0,0.006457067845869904,3.401759530791789,53.665689149560116
Canada,51150,2983,19231,37674770.0,4.0,0.13576725219556748,5.831867057673509,37.59726295210166
Central African Republic,50,0,10,4812256.0,8.0,0.0010390137183059255,0.0,20.0
Chad,52,2,19,16324440.0,13.0,0.00031854078914805037,3.8461538461538463,36.53846153846153
Chile,14365,207,7710,19082804.0,26.0,0.0752771972085444,1.4410024364775498,53.67211973546815
China,83940,4637,78422,1438207241.0,153.0,0.005836432859400407,5.524183940910174,93.42625685013105
